Gene,log2FC,pVal,pAdj,NES
MRPS6,0.315007235,0.212412205,0.530441911,44.28562
MRPL36,0.153935648,0.434368039,0.735392928,150.2195
MRPL36,0.153935648,0.434368039,0.735392928,150.2195
MRPL36,0.153935648,0.434368039,0.735392928,150.2195
MRPL36,0.153935648,0.434368039,0.735392928,150.2195
MRPL50,-0.3983703,0.076718215,0.31510417,65.68064
MRPL50,-0.3983703,0.076718215,0.31510417,65.68064
MRPL50,-0.3983703,0.076718215,0.31510417,65.68064
MRPS36,0.068601217,0.786098619,0.920921279,396.2272
MRPS36,0.068601217,0.786098619,0.920921279,396.2272
MRPS36,0.068601217,0.786098619,0.920921279,396.2272
MRPS36,0.068601217,0.786098619,0.920921279,396.2272
MRPS36,0.068601217,0.786098619,0.920921279,396.2272
MRPS11,-0.019944984,0.950046792,0.984961106,83.03404
MRPS11,-0.019944984,0.950046792,0.984961106,83.03404
MRPS11,-0.019944984,0.950046792,0.984961106,83.03404
MRPS11,-0.019944984,0.950046792,0.984961106,83.03404
MRPS11,-0.019944984,0.950046792,0.984961106,83.03404
MRPL28,-0.163421509,0.478621455,0.763658017,177.0992
MRPL28,-0.163421509,0.478621455,0.763658017,177.0992
MRPL28,-0.163421509,0.478621455,0.763658017,177.0992
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845
MRPL10,-0.149323398,0.401757813,0.710289304,35.12845
MRPL55,0.397012279,0.121229941,0.40401689,209.5867
MRPL55,0.397012279,0.121229941,0.40401689,209.5867
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL11,-0.183342846,0.555212934,0.810357276,72.85014
MRPL4,-0.037721535,0.87578189,0.955415067,102.15474
MRPL4,-0.037721535,0.87578189,0.955415067,102.15474
MRPL4,-0.037721535,0.87578189,0.955415067,102.15474
MRPS9,-0.13285199,0.597478661,0.832504688,92.31652
MRPS9,-0.13285199,0.597478661,0.832504688,92.31652
MRPS9,-0.13285199,0.597478661,0.832504688,92.31652
MRPS9,-0.13285199,0.597478661,0.832504688,92.31652
MRPS9,-0.13285199,0.597478661,0.832504688,92.31652
MRPL19,-0.39848895,0.218547178,0.536650224,73.56333
MRPL19,-0.39848895,0.218547178,0.536650224,73.56333
MRPL19,-0.39848895,0.218547178,0.536650224,73.56333
MRPL19,-0.39848895,0.218547178,0.536650224,73.56333
MRPS14,-0.395516863,0.019391805,0.138060996,407.3857
MRPL47,-0.154839972,0.620457375,0.843719312,66.77287
MRPL47,-0.154839972,0.620457375,0.843719312,66.77287
MRPL47,-0.154839972,0.620457375,0.843719312,66.77287
MRPL1,-0.338955149,0.284769814,0.607361529,60.24536
MRPL1,-0.338955149,0.284769814,0.607361529,60.24536
MRPL1,-0.338955149,0.284769814,0.607361529,60.24536
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPS22,-0.306947422,0.118837533,0.398905041,71.63892
MRPL45,-0.007494388,0.971968478,0.99200703,82.31047
MRPL45,-0.007494388,0.971968478,0.99200703,82.31047
MRPL45,-0.007494388,0.971968478,0.99200703,82.31047
MRPL45,-0.007494388,0.971968478,0.99200703,82.31047
MRPL45,-0.007494388,0.971968478,0.99200703,82.31047
MRPS30,-0.262122972,0.224998635,0.544756331,54.37891
MRPS30,-0.262122972,0.224998635,0.544756331,54.37891
MRPS30,-0.262122972,0.224998635,0.544756331,54.37891
MRPL44,-0.486905321,0.167473049,0.47303442,37.22131
MRPL44,-0.486905321,0.167473049,0.47303442,37.22131
MRPL44,-0.486905321,0.167473049,0.47303442,37.22131
MRPL53,0.179437609,0.424585201,0.727800579,135.2973
MRPL53,0.179437609,0.424585201,0.727800579,135.2973
MRPL53,0.179437609,0.424585201,0.727800579,135.2973
MRPL40,-0.261907088,0.202024492,0.51854057,86.34561
MRPL40,-0.261907088,0.202024492,0.51854057,86.34561
MRPL40,-0.261907088,0.202024492,0.51854057,86.34561
MRPL40,-0.261907088,0.202024492,0.51854057,86.34561
MRPL40,-0.261907088,0.202024492,0.51854057,86.34561
MRPL34,0.320822391,0.239869483,0.560877614,347.4798
MRPL34,0.320822391,0.239869483,0.560877614,347.4798
MRPL9,0.173826227,0.372146976,0.688571059,32.17955
MRPL9,0.173826227,0.372146976,0.688571059,32.17955
CHCHD4,0.202802606,0.497509872,0.776234386,45.52965
CHCHD4,0.202802606,0.497509872,0.776234386,45.52965
TIMM22,-0.210248376,0.411327632,0.716242997,55.18411
TIMM22,-0.210248376,0.411327632,0.716242997,55.18411
TIMM22,-0.210248376,0.411327632,0.716242997,55.18411
TIMM22,-0.210248376,0.411327632,0.716242997,55.18411
PAM16,-0.089484212,0.604300191,0.83551507,127.01021
PAM16,-0.089484212,0.604300191,0.83551507,127.01021
TOMM6,0.000529777,0.997330854,0.999305349,60.08548
TOMM6,0.000529777,0.997330854,0.999305349,60.08548
TOMM6,0.000529777,0.997330854,0.999305349,60.08548
TOMM6,0.000529777,0.997330854,0.999305349,60.08548
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
SAMM50,0.382809834,0.078932789,0.318600328,137.87079
GRPEL2,-0.1764823,0.59199984,0.828999278,29.14481
GRPEL2,-0.1764823,0.59199984,0.828999278,29.14481
GRPEL2,-0.1764823,0.59199984,0.828999278,29.14481
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TIMM10,0.227594656,0.562470032,0.813665596,62.02995
TOMM40,-0.18163593,0.444457684,0.740416441,116.88358
TOMM40,-0.18163593,0.444457684,0.740416441,116.88358
TOMM40,-0.18163593,0.444457684,0.740416441,116.88358
MRPL49,-0.108234546,0.685818251,0.877052624,30.53397
MRPS7,-0.004597637,0.985704073,0.996336786,51.28719
MRPS7,-0.004597637,0.985704073,0.996336786,51.28719
MRPS7,-0.004597637,0.985704073,0.996336786,51.28719
MRPS7,-0.004597637,0.985704073,0.996336786,51.28719
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPL43,-0.044925205,0.805756485,0.928651401,70.43874
MRPS10,0.173783295,0.560137613,0.81311042,70.44497
MRPS10,0.173783295,0.560137613,0.81311042,70.44497
MRPS10,0.173783295,0.560137613,0.81311042,70.44497
MRPS10,0.173783295,0.560137613,0.81311042,70.44497
MRPL23,-1.274442961,0.002421308,0.033549041,119.9378
MRPL23,-1.274442961,0.002421308,0.033549041,119.9378
MRPL23,-1.274442961,0.002421308,0.033549041,119.9378
MRPS16,0.124525428,0.466088483,0.754970762,168.9702
MRPS16,0.124525428,0.466088483,0.754970762,168.9702
NUBPL,-0.702617562,0.289503376,0.612509212,9.551708
NUBPL,-0.702617562,0.289503376,0.612509212,9.551708
NUBPL,-0.702617562,0.289503376,0.612509212,9.551708
NUBPL,-0.702617562,0.289503376,0.612509212,9.551708
NUBPL,-0.702617562,0.289503376,0.612509212,9.551708
COX16,0.344341641,0.044860632,0.231047013,105.18018
COX16,0.344341641,0.044860632,0.231047013,105.18018
COX16,0.344341641,0.044860632,0.231047013,105.18018
COX16,0.344341641,0.044860632,0.231047013,105.18018
COX17,0.389778008,0.06914854,0.297188771,497.226
COX17,0.389778008,0.06914854,0.297188771,497.226
COX17,0.389778008,0.06914854,0.297188771,497.226
COX17,0.389778008,0.06914854,0.297188771,497.226
FMC1,0.307146597,0.356010752,0.674129267,263.7073
FMC1,0.307146597,0.356010752,0.674129267,263.7073
FMC1,0.307146597,0.356010752,0.674129267,263.7073
FMC1,0.307146597,0.356010752,0.674129267,263.7073
TIMMDC1,0.197680375,0.571484117,0.818046954,78.87684
TIMMDC1,0.197680375,0.571484117,0.818046954,78.87684
TIMMDC1,0.197680375,0.571484117,0.818046954,78.87684
TIMMDC1,0.197680375,0.571484117,0.818046954,78.87684
COX6C,0.218633721,0.343095598,0.664718752,1690.341
COX6C,0.218633721,0.343095598,0.664718752,1690.341
COX6C,0.218633721,0.343095598,0.664718752,1690.341
UQCRB,0.172004039,0.496327594,0.776013695,507.1616
UQCRB,0.172004039,0.496327594,0.776013695,507.1616
UQCRB,0.172004039,0.496327594,0.776013695,507.1616
UQCRB,0.172004039,0.496327594,0.776013695,507.1616
UQCRB,0.172004039,0.496327594,0.776013695,507.1616
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
ATPAF1,-0.203563554,0.388551602,0.699531793,42.16269
COX7A2,0.052458627,0.823382351,0.935051723,1354.839
COX7A2,0.052458627,0.823382351,0.935051723,1354.839
COX7A2,0.052458627,0.823382351,0.935051723,1354.839
COX7A2,0.052458627,0.823382351,0.935051723,1354.839
COX7A2,0.052458627,0.823382351,0.935051723,1354.839
SDHAF3,-0.030683798,0.929134255,0.975297015,33.90498
SDHAF3,-0.030683798,0.929134255,0.975297015,33.90498
SDHAF3,-0.030683798,0.929134255,0.975297015,33.90498
SDHAF3,-0.030683798,0.929134255,0.975297015,33.90498
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFAF6,0.131424908,0.705852576,0.886960978,57.33137
NDUFB7,0.247803669,0.170246385,0.47688947,398.7448
NDUFB7,0.247803669,0.170246385,0.47688947,398.7448
NDUFB7,0.247803669,0.170246385,0.47688947,398.7448
COA6,-0.187594529,0.347035089,0.66841289,87.71273
COX7A1,0.869749356,0.233370968,0.554627998,2188.278
COX7A1,0.869749356,0.233370968,0.554627998,2188.278
COX7A1,0.869749356,0.233370968,0.554627998,2188.278
COX7A1,0.869749356,0.233370968,0.554627998,2188.278
