Gene,logFC,pVal,pAdj,sdSF,sdGC
GNAI3,-0.049922829,0.721912003,0.894152063,68.12543,91.13149
CDC45,-3.004394522,1.16737E-05,0.000504902,7.082646,24.896862
H19,-0.58076072,0.682639363,0.877052624,10.77423,9.4272
NARF,0.655810939,0.049249497,0.244715765,114.59354,46.05405
CAV2,0.613581869,0.272192293,0.595710754,62.96824,38.60782
KLF6,-0.180247088,0.279218506,0.602248815,76.72349,66.53574
SCMH1,-0.149000014,0.629256733,0.84840908,36.61497,34.32201
COX5A,0.298697389,0.227987477,0.548223995,892.2171,689.1335
WNT9A,1.652030623,0.126490055,0.411651382,19.752369,4.273569
FER,-0.337196027,0.571114501,0.817885278,37.66695,31.85385
XPO6,-0.078747007,0.72204953,0.894180929,44.92262,39.25556
TFE3,0.376515321,0.394541655,0.704450327,51.62597,16.90266
AXIN2,-0.073501408,0.81050123,0.930675259,27.43153,24.49158
BRAT1,0.34681985,0.299124748,0.622130205,29.04756,27.0056
GNA12,0.697171195,0.010140457,0.090777096,27.68775,15.32098
SLC22A18,0.410321489,0.743228904,0.902357615,11.83185,15.48477
PIH1D2,-0.689175889,0.505809574,0.780576567,7.998448,9.90114
DLAT,0.29027494,0.327029684,0.649619864,185.7557,141.0124
SDHD,0.273528127,0.303518753,0.62652513,345.4891,302.7082
CCND2,0.127027079,0.574652673,0.819251078,246.7052,176.1385
GPR107,-0.00917401,0.967295065,0.990007535,37.31421,30.6196
SLFN4,4.777640851,0.001784837,0.026767424,21.0853538,0.6867154
SCNN1G,-0.69718884,0.479911513,0.764469892,7.445779,7.610942
TSPAN32,0.528804643,0.005694374,0.061742944,175.5979,142.1547
GMPR,0.819289648,0.02662733,0.168992343,285.1517,131.3667
MID2,0.122590615,0.826497606,0.935965569,18.08843,14.70879
TRIM25,0.475229064,0.14602979,0.443442286,64.80637,53.05922
DGKE,-0.10024556,0.650751297,0.859235374,163.3517,170.2231
SCPEP1,0.048643279,0.926063622,0.974171784,33.5543,18.01576
MNT,-0.01748875,0.967028699,0.990007535,32.68841,24.93942
ITGB2,0.060718568,0.756929193,0.908522639,119.32539,78.82495
HDDC2,0.050667284,0.828048858,0.936624835,47.15408,44.31209
TPD52L1,0.015639186,0.982337262,0.994919109,12.54575,11.81943
PEMT,1.32243058,0.088347954,0.339833688,16.316803,7.856658
CDH1,0.913806386,0.003033248,0.039054464,22.07318,22.0822
CDH4,-0.110419547,0.709973244,0.889426395,40.84538,24.05519
CKMT1,1.661499185,0.205761084,0.523752446,10.412665,3.957579
CLEC10A,1.157814578,0.094280274,0.351966203,9.01611,4.74964
ALOX12,0.451083831,0.731136706,0.898258585,6.203379,6.511057
COMT,0.169087041,0.56259788,0.813665596,131.506,204.7917
RTCA,-0.384530248,0.19752611,0.512879985,46.38434,29.8308
DBT,0.718548228,0.000555147,0.01136201,43.07306,39.12521
DAZAP2,-0.220443887,0.116137445,0.395120357,92.69652,173.78917
MCTS1,-0.050880908,0.789443312,0.92217125,83.38697,40.78769
TRAPPC10,0.020616376,0.923483237,0.97301326,83.84825,39.43354
