Protein IDs,Protein names,Gene,Intensity
A0JNU3,60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase,Aspg,456300000
A2A432-2;A2A432,Cullin-4B,Cul4b,29049000
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,141990000
A2A7S8-3;A2A7S8;A2A7S8-4;A2A7S8-2,Uncharacterized protein KIAA1522,Kiaa1522,3619400
A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,3011200
A2A8L5,Receptor-type tyrosine-protein phosphatase F,Ptprf,60199000
A2A8Z1;A2A8Z1-2,Oxysterol-binding protein-related protein 9,Osbpl9,56000000
A2AAJ9-2;A2AAJ9,Obscurin,Obscn,44450000
A2ABU4,Myomesin-3,Myom3,5804100
A2ADY9,Protein DDI1 homolog 2,Ddi2,986880000
A2AGT5-2;A2AGT5-3;A2AGT5,Cytoskeleton-associated protein 5,Ckap5,20650000
A2AIV2-2;A2AIV2,Protein virilizer homolog,Kiaa1429,1070400
A2AJL3;A2AJL3-2,FGGY carbohydrate kinase domain-containing protein,Fggy,1413900000
A2AKG8,Focadhesin,Focad,4323600
A2AKK5;A2AKK5-2,Acyl-coenzyme A amino acid N-acyltransferase 1,Acnat1,245490000
A2ALU4;A2ALU4-2,Protein Shroom2,Shroom2,1195000000
A2ALW5-2;A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,66946000
A2AN08-3;A2AN08;A2AN08-5;A2AN08-2;A2AN08-4,E3 ubiquitin-protein ligase UBR4,Ubr4,237200000
A2APY7;A2APY7-2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5,Ndufaf5,10805000
A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,12289000
A2AQP0,Myosin-7B,Myh7b,69227000
A2AS89,"Agmatinase, mitochondrial",Agmat,2984800000
A2ASS6;A2ASS6-2;A2ASS6-3,Titin,Ttn,3833600000
A2ASZ8;A2ASZ8-4;A2ASZ8-5;A2ASZ8-2;A2ASZ8-3,Calcium-binding mitochondrial carrier protein SCaMC-2,Slc25a25,43778000
A2ATU0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",Dhtkd1,1576100000
A2AUC9;REV__Q80VM7,Kelch-like protein 41,Klhl41,21771000
